Ind,Nec_2015,Nec_2016,Nec_2017
MPL1 ,0,5,10
MPL10 ,26,9,55
MPL11 ,1,3,50
MPL12 ,1,3,43
MPL13 ,1,2,15
MPL14 ,1,2,56
MPL15 ,29,3,27
MPL16 ,1,0,51
MPL17 ,0,1,35
MPL18 ,0,4,NA
MPL19 ,0,6,44
MPL2 ,19,35,41
MPL20 ,5,0,49
MPL21 ,1,1,35
MPL22 ,11,37,50
MPL23 ,1,0,NA
MPL24 ,0,4,41
MPL25 ,2,0,25
MPL26 ,2,2,60
MPL27 ,6,0,45
MPL28 ,1,2,35
MPL29 ,0,27,34
MPL3 ,2,17,51
MPL30 ,1,5,19
MPL4 ,9,5,41
MPL5 ,44,56,25
MPL6 ,12,25,60
MPL7 ,21,26,45
MPL9 ,4,20,34
MTA1 ,8,43,42
MTA10 ,2,0,24
MTA11 ,4,1,51
MTA12 ,1,7,37
MTA13 ,20,15,60
MTA14 ,35,50,46
MTA15 ,2,37,62
MTA16 ,2,9,47
MTA17 ,1,3,46
MTA18 ,0,0,49
MTA19 ,0,0,52
MTA2 ,4,0,38
MTA20 ,0,20,55
MTA21 ,5,11,32
MTA22 ,18,8,41
MTA23 ,4,20,46
MTA24 ,0,0,43
MTA25 ,5,9,38
MTA26 ,9,19,29
MTA27 ,6,31,39
MTA28 ,14,2,54
MTA29 ,3,1,34
MTA3 ,16,15,40
MTA30 ,3,1,38
MTA32 ,NA,NA,NA
MTA33 ,NA,NA,NA
MTA34 ,NA,NA,NA
MTA4 ,2,2,36
MTA5 ,42,9,51
MTA6 ,3,2,43
MTA7 ,33,35,38
MTA8 ,1,25,NA
MTA9 ,33,27,47
MVA10 ,2,10,39
MVA11 ,3,6,59
MVA12 ,1,0,52
MVA13 ,0,22,32
MVA14 ,0,0,NA
MVA15 ,0,0,42
MVA16 ,0,4,46
MVA17 ,3,9,45
MVA18 ,0,2,47
MVA19 ,11,5,NA
MVA20 ,16,13,NA
MVA21 ,15,19,52.1
MVA22 ,42,39,63.5
MVA23 ,0,26,35
MVA24 ,0,24,35
MVA25 ,24,37,64
MVA26 ,6,5,53
MVA27 ,14,NA,38
MVA28 ,0,NA,NA
MVA29 ,1,NA,NA
MVA30 ,0,NA,32
MVA6 ,10,8,NA
MVA7 ,9,16,NA
MVA8 ,0,2,52
MVA9,NA,2.2,43.85
