,ind,intercepts
1,P_Llop_2,0.658831658
2,P_Llop_20,-0.363612107
3,P_Llop_21,-0.341016553
4,P_Llop_22,0.649823426
5,P_Llop_24,-0.526769968
6,P_Llop_25,-0.765780083
7,P_Llop_26,-0.26161283
8,P_Llop_27,-0.39114399
9,P_Llop_28,-0.587666254
10,P_Llop_29,-0.167419569
11,P_Llop_3,-0.025311922
12,P_Llop_30,-0.617897269
13,P_Llop_4,-0.106361031
14,P_Llop_5,1.094077696
15,P_Llop_6,0.528385236
16,P_Llop_7,0.573479504
18,P_Llop_9,-0.055350727
19,Tascons_1,0.558094192
20,Tascons_10,-0.780971245
21,Tascons_11,-0.262565635
22,Tascons_12,-0.272034081
23,Tascons_13,0.492338767
24,Tascons_14,1.150976136
25,Tascons_15,0.459088951
26,Tascons_16,-0.183230473
27,Tascons_17,-0.443648353
28,Tascons_18,-0.654383437
29,Tascons_19,-0.612918652
30,Tascons_2,-0.321576606
31,Tascons_20,-0.042291764
32,Tascons_21,-0.143252217
33,Tascons_22,0.162843503
34,Tascons_23,0.080429451
35,Tascons_24,-0.66161797
36,Tascons_25,-0.160387948
37,Tascons_26,0.067710417
38,Tascons_27,0.276648887
39,Tascons_28,0.070118398
40,Tascons_29,-0.539193253
41,Tascons_3,0.421333466
42,Tascons_30,-0.510723019
43,Tascons_4,-0.506748115
44,Tascons_5,0.637801194
45,Tascons_6,-0.384897559
46,Tascons_7,0.845510212
47,Tascons_9,0.845065827
50,Vaca_11,0.022022791
51,Vaca_12,-0.416192301
52,Vaca_13,-0.078204478
53,Vaca_15,-0.591672333
54,Vaca_16,-0.336349845
55,Vaca_17,-0.034392174
56,Vaca_18,-0.375152285
57,Vaca_20,0.378365713
59,Vaca_22,1.387279644
60,Vaca_23,-0.088820467
61,Vaca_24,-0.073170684
62,Vaca_25,1.102155563
63,Vaca_26,0.070952186
64,Vaca_3,-0.414809259
65,Vaca_5,-0.362907624
66,Vaca_8,-0.373733506
