,Intercepts,MLH
MPL1,-0.858,0.886
MPL10,0.049,0.886
MPL11,-0.314,1.083
MPL12,-0.390,0.886
MPL13,-0.762,0.886
MPL14,-0.265,0.886
MPL15,-0.594,0.787
MPL16,-0.504,1.181
MPL17,-0.582,0.984
MPL19,-0.240,0.787
MPL2,0.558,0.886
MPL20,-0.447,0.844
MPL21,-0.416,0.984
MPL22,0.548,0.984
MPL24,-0.605,1.280
MPL25,-0.836,0.787
MPL26,-0.347,0.492
MPL27,-0.472,0.886
MPL28,-0.661,0.984
MPL29,-0.252,1.083
MPL3,-0.111,0.984
MPL30,-0.685,0.984
MPL4,-0.186,0.943
MPL5,0.976,1.083
MPL6,0.430,0.591
MPL7,0.476,0.886
MPL9,-0.135,0.886
MTA1,0.336,1.083
MTA10,-0.974,0.984
MTA11,-0.467,1.083
MTA12,-0.473,1.181
MTA13,0.272,1.181
MTA14,0.908,1.181
MTA15,0.232,1.083
MTA16,-0.386,1.477
MTA17,-0.645,0.984
MTA18,-0.861,1.083
MTA19,-0.821,1.083
MTA2,-0.525,1.181
MTA20,-0.257,1.083
MTA21,-0.342,0.984
MTA22,-0.045,0.886
MTA23,-0.127,0.984
MTA24,-0.864,1.280
MTA25,-0.360,1.083
MTA26,-0.135,1.083
MTA27,0.064,0.886
MTA28,-0.142,0.591
MTA29,-0.735,0.984
MTA3,0.206,0.984
MTA30,-0.709,0.984
MTA4,-0.703,1.280
MTA5,0.411,1.280
MTA6,-0.584,0.984
MTA7,0.616,0.984
MTA9,0.615,0.886
MVA10,-0.371,0.984
MVA11,-0.187,1.181
MVA12,-0.623,0.886
MVA13,-0.284,1.083
MVA15,-0.794,1.083
MVA16,-0.539,0.886
MVA17,-0.238,1.083
MVA18,-0.579,0.984
MVA21,0.311,1.280
MVA22,1.137,0.984
MVA23,-0.296,1.181
MVA24,-0.279,1.083
MVA25,0.863,0.787
MVA26,-0.136,0.984
MVA8,-0.579,0.886
