Day,2015,Error_2015,2016,Error_2016,2017,Error_2017
0,0,0,0,0,2.166666667,1.72345772
1,0,0,0,0,3.333333333,2.506696014
2,0,0,,,3.333333333,2.506696014
3,0,0,,,2,2
4,1.066666667,0.701285082,0,0,0,0
5,1.09,0.7,0,0,0,0
6,1.19,0.7,0,0,0,0
7,1.233333333,0.712262597,0,0,3,1.450326955
8,0.9,0.680348119,1.2,0.8,3.5,1.592908134
9,1.4,0.9,1.6,1,6.5,2.225117845
10,1.633333333,1.022149339,1.8,3,10.16666667,3.111743915
11,1.8,1.05,2.166666667,1.391338835,16.33333333,4.374254178
12,1.9,1.08,1.833333333,1.210189814,25,5.381962211
13,2.5,1.2,2.166666667,0.819424151,34.33333333,6.444873813
14,3.766666667,1.472883897,5.166666667,2.901479343,45,6.839708268
15,4.433333333,1.954472227,5.5,3,55.16666667,7.548629065
16,6.166666667,2.506122771,6,3,67,7.317118961
17,7.3,2.750193306,7.033333333,3.324753325,75.33333333,6.582514863
18,8.7,3.024858693,9.333333333,4.009567103,81.83333333,6.461572232
19,9,3.05,11,4.25,84,5.976005662
20,9.4,3.06,12.36666667,4.543906703,87.16666667,5.217583739
21,10.7,3.07,16.06666667,5.302338095,89.33333333,4.768993082
22,11.86666667,3.802822102,18,6,89.33333333,4.768993082
23,16.63333333,4.933228486,20,6.6,95.5,2.819778258
24,18,5,30.53333333,7.160513263,95.5,2.819778258
25,22.06666667,5.663339118,33.2,7.055510604,98.66666667,1.333333333
26,24,5.9,35.36666667,6.995644513,100,0
27,26,6,35.16666667,7.085209353,100,0
28,27.03333333,6.204092704,36.46666667,7.142351159,100,0
