Day,2015,Error_2015,2016,Error_2016,2017,Error_2017
0,1.034482759,0.718308698,0,0,0,0
1,1.206896552,0.84716175,0,0,0,0
2,1.206896552,0.84716175,0,0,0,0
3,1.206896552,0.84716175,0,0,0,0
4,1.724137931,0.904145559,0,0,0,0
5,1.724137931,0.904145559,0,0,0,0
6,1.724137931,0.904145559,0,0,0.344827586,0.344827586
7,1.724137931,0.904145559,0.172413793,0.172413793,1.034482759,1.034482759
8,2.24137931,0.947715912,0.689655172,0.409563772,1.034482759,1.034482759
9,2.24137931,0.947715912,0.689655172,0.409563772,2.931034483,1.692442659
10,2.413793103,1.011652846,0.689655172,0.409563772,6.551724138,3.009666777
11,2.586206897,1.011652846,2.24137931,1.125887906,11.72413793,3.886282733
12,2.586206897,1.011652846,2.75862069,1.23041822,20,5.570860145
13,2.586206897,1.011652846,3.448275862,1.590911848,31.89655172,6.715606562
14,6.206896552,2.256015118,4.137931034,1.986235974,47.93103448,6.923745647
15,7.068965517,2.450460414,5.344827586,2.286863245,60.86206897,6.939521309
16,8.793103448,3.085952325,5.344827586,2.286863245,72.4137931,6.619592735
17,10,3.43840953,10.17241379,3.903727209,81.55172414,5.258721634
18,11.72413793,3.894196943,12.06896552,4.058661915,93.44827586,3.07043193
19,11.72413793,3.894196943,12.06896552,4.058661915,97.93103448,1.746164717
20,11.72413793,3.894196943,16.55172414,4.894851575,98.62068966,1.379310345
21,11.72413793,3.894196943,21.72413793,6.214930488,99.65517241,0.344827586
22,20.51724138,5.853006614,21.72413793,6.214930488,99.65517241,0.344827586
23,24.31034483,5.875997651,21.72413793,6.214930488,100,0
24,26.55172414,6.159334741,35,7.114475634,100,0
25,30.51724138,6.801843544,37.5862069,7.160289582,100,0
26,30.51724138,6.801843544,40.17241379,7.081869755,100,0
27,30.51724138,6.801843544,43.10344828,7.142177647,100,0
28,39.48275862,7.137568111,46.37931034,7.229934658,100,0
