Day,2015,Error_15,2016,Error_16,2017,Error_17
0,0.690,0.690,0.000,0.000,1.000,1.000
1,1.034,1.034,0.000,0.000,1.333,1.333
2,,0.000,,,2.000,2.000
3,,0.000,,,2.667,2.667
4,0.000,0.000,0.000,0.000,3.000,3.000
5,,,0.000,0.000,0.000,0.000
6,,,0.000,0.000,0.000,0.000
7,0.000,0.000,0.000,0.000,0.500,0.368
8,0.000,0.000,0.100,0.100,1.667,0.692
9,,,0.200,0.200,5.500,2.215
10,0.345,0.345,0.500,0.400,11.500,4.825
11,0.500,0.500,0.833,0.682,15.833,4.989
12,1.000,1.000,1.333,0.756,26.833,5.522
13,1.200,1.200,6.033,2.277,39.000,6.294
14,1.621,1.082,2.333,0.888,53.000,7.094
15,2.357,1.217,2.700,0.900,66.333,7.196
16,4.714,2.882,4.000,1.000,78.000,6.208
17,4.750,2.880,5.667,1.893,85.500,5.199
18,5.679,2.881,10.467,4.007,96.000,2.011
19,6.000,3.000,14.000,4.500,99.333,0.667
20,10.000,3.200,18.700,5.346,100.000,0.000
21,12.000,4.000,23.167,6.010,100.000,0.000
22,14.571,5.103,26.000,6.200,100.000,0.000
23,17.821,5.251,28.000,6.500,100.000,0.000
24,19.000,5.500,31.667,6.812,100.000,0.000
25,22.185,6.156,34.167,6.666,100.000,0.000
26,25.000,6.500,38.333,6.671,100.000,0.000
27,30.000,6.700,39.833,6.719,100.000,0.000
28,32.148,7.255,41.333,6.898,100.000,0.000
