Colony_ID,Population,Year,Conditions,Temp,Experiment Day,Necrosis %
P_Llop_1,P_Llop,2015,Control,18,10,0
P_Llop_1,P_Llop,2015,Control,18,25,1
P_Llop_1,P_Llop,2015,Control,18,11,0
P_Llop_1,P_Llop,2015,Control,18,14,0
P_Llop_1,P_Llop,2015,Control,18,15,0
P_Llop_1,P_Llop,2015,Control,18,16,0
P_Llop_1,P_Llop,2015,Control,18,17,0
P_Llop_1,P_Llop,2015,Control,18,18,0
P_Llop_1,P_Llop,2015,Control,18,22,0
P_Llop_1,P_Llop,2015,Control,18,28,1
P_Llop_1,P_Llop,2015,Control,18,23,1
P_Llop_1,P_Llop,2015,Control,18,24,1
P_Llop_1,P_Llop,2015,Control,18,0,0
P_Llop_1,P_Llop,2015,Control,18,1,0
P_Llop_1,P_Llop,2015,Control,18,2,0
P_Llop_1,P_Llop,2015,Control,18,3,0
P_Llop_1,P_Llop,2015,Control,18,4,0
P_Llop_1,P_Llop,2015,Control,18,7,0
P_Llop_1,P_Llop,2015,Control,18,8,0
P_Llop_1,P_Llop,2015,Tractament,25,,
P_Llop_1,P_Llop,2015,Tractament,25,25,0
P_Llop_1,P_Llop,2015,Tractament,,11,0
P_Llop_1,P_Llop,2015,Tractament,25,,
P_Llop_1,P_Llop,2015,Tractament,26,,
P_Llop_1,P_Llop,2015,Tractament,25,,
P_Llop_1,P_Llop,2015,Tractament,25,,
P_Llop_1,P_Llop,2015,Tractament,25,,
P_Llop_1,P_Llop,2015,Tractament,25,,
P_Llop_1,P_Llop,2015,Tractament,25,,
P_Llop_1,P_Llop,2015,Tractament,25,,
P_Llop_1,P_Llop,2015,Tractament, ,24,0
P_Llop_1,P_Llop,2015,Tractament,23,0,0
P_Llop_1,P_Llop,2015,Tractament,22,,
P_Llop_1,P_Llop,2015,Tractament,,2,0
P_Llop_1,P_Llop,2015,Tractament,,3,0
P_Llop_1,P_Llop,2015,Tractament,25,,
P_Llop_1,P_Llop,2015,Tractament,25,,
P_Llop_1,P_Llop,2015,Tractament,25,,
P_Llop_10,P_Llop,2015,Control,18,,
P_Llop_10,P_Llop,2015,Control,,25,0
P_Llop_10,P_Llop,2015,Control,17,,
P_Llop_10,P_Llop,2015,Control,18,,
P_Llop_10,P_Llop,2015,Control,18,,
P_Llop_10,P_Llop,2015,Control,18,,
P_Llop_10,P_Llop,2015,Control,17,,
P_Llop_10,P_Llop,2015,Control,17,,
P_Llop_10,P_Llop,2015,Control,16,,
P_Llop_10,P_Llop,2015,Control, ,28,0
P_Llop_10,P_Llop,2015,Control, ,23,0
P_Llop_10,P_Llop,2015,Control,16,24,0
P_Llop_10,P_Llop,2015,Control,18,,
P_Llop_10,P_Llop,2015,Control,19,,
P_Llop_10,P_Llop,2015,Control,,2,0
P_Llop_10,P_Llop,2015,Control,,3,0
P_Llop_10,P_Llop,2015,Control,17,,
P_Llop_10,P_Llop,2015,Control,17,,
P_Llop_10,P_Llop,2015,Control,17,,
P_Llop_10,P_Llop,2015,Tractament,25,,
P_Llop_10,P_Llop,2015,Tractament,,25,100
P_Llop_10,P_Llop,2015,Tractament,25,,
P_Llop_10,P_Llop,2015,Tractament,26,,
P_Llop_10,P_Llop,2015,Tractament,25,,
P_Llop_10,P_Llop,2015,Tractament,25,,
P_Llop_10,P_Llop,2015,Tractament,25,,
P_Llop_10,P_Llop,2015,Tractament,25,,
P_Llop_10,P_Llop,2015,Tractament,25,,
P_Llop_10,P_Llop,2015,Tractament, ,28,100
P_Llop_10,P_Llop,2015,Tractament,25,23,100
P_Llop_10,P_Llop,2015,Tractament,25,,
P_Llop_10,P_Llop,2015,Tractament,23,3,0
P_Llop_10,P_Llop,2015,Tractament,22,,
P_Llop_10,P_Llop,2015,Tractament,,7,0
P_Llop_10,P_Llop,2015,Tractament,,8,0
P_Llop_10,P_Llop,2015,Tractament,25,,
P_Llop_10,P_Llop,2015,Tractament,25,,
P_Llop_10,P_Llop,2015,Tractament,25,,
P_Llop_11,P_Llop,2015,Control,18,,
P_Llop_11,P_Llop,2015,Control,,25,0
P_Llop_11,P_Llop,2015,Control,17,,
P_Llop_11,P_Llop,2015,Control,18,,
P_Llop_11,P_Llop,2015,Control,18,,
P_Llop_11,P_Llop,2015,Control,18,,
P_Llop_11,P_Llop,2015,Control,17,,
P_Llop_11,P_Llop,2015,Control,17,,
P_Llop_11,P_Llop,2015,Control,16,,
P_Llop_11,P_Llop,2015,Control, ,28,0
P_Llop_11,P_Llop,2015,Control, ,23,0
P_Llop_11,P_Llop,2015,Control,16,24,0
P_Llop_11,P_Llop,2015,Control,18,,
P_Llop_11,P_Llop,2015,Control,18,,
P_Llop_11,P_Llop,2015,Control,,2,0
P_Llop_11,P_Llop,2015,Control,,3,0
P_Llop_11,P_Llop,2015,Control,18,,
P_Llop_11,P_Llop,2015,Control,17,,
P_Llop_11,P_Llop,2015,Control,17,,
P_Llop_11,P_Llop,2015,Tractament,25,,
P_Llop_11,P_Llop,2015,Tractament,,25,5
P_Llop_11,P_Llop,2015,Tractament,25,,
P_Llop_11,P_Llop,2015,Tractament,25,,
P_Llop_11,P_Llop,2015,Tractament,25,,
P_Llop_11,P_Llop,2015,Tractament,25,,
P_Llop_11,P_Llop,2015,Tractament,25,,
P_Llop_11,P_Llop,2015,Tractament,25,,
P_Llop_11,P_Llop,2015,Tractament,25,,
P_Llop_11,P_Llop,2015,Tractament, ,28,10
P_Llop_11,P_Llop,2015,Tractament, ,23,1
P_Llop_11,P_Llop,2015,Tractament,25,,
P_Llop_11,P_Llop,2015,Tractament,23,0,0
P_Llop_11,P_Llop,2015,Tractament,22,,
P_Llop_11,P_Llop,2015,Tractament,,2,0
P_Llop_11,P_Llop,2015,Tractament,,3,0
P_Llop_11,P_Llop,2015,Tractament,25,,
P_Llop_11,P_Llop,2015,Tractament,25,,
P_Llop_11,P_Llop,2015,Tractament,25,,
P_Llop_12,P_Llop,2015,Control,18,,
P_Llop_12,P_Llop,2015,Control,,25,0
P_Llop_12,P_Llop,2015,Control,17,,
P_Llop_12,P_Llop,2015,Control,18,,
P_Llop_12,P_Llop,2015,Control,18,,
P_Llop_12,P_Llop,2015,Control,18,,
P_Llop_12,P_Llop,2015,Control,17,,
P_Llop_12,P_Llop,2015,Control,17,,
P_Llop_12,P_Llop,2015,Control,16,,
P_Llop_12,P_Llop,2015,Control, ,28,0
P_Llop_12,P_Llop,2015,Control, ,23,0
P_Llop_12,P_Llop,2015,Control,16,24,0
P_Llop_12,P_Llop,2015,Control,18,,
P_Llop_12,P_Llop,2015,Control,18,,
P_Llop_12,P_Llop,2015,Control,,2,0
P_Llop_12,P_Llop,2015,Control,,3,0
P_Llop_12,P_Llop,2015,Control,18,,
P_Llop_12,P_Llop,2015,Control,17,,
P_Llop_12,P_Llop,2015,Control,17,,
P_Llop_12,P_Llop,2015,Tractament,25,,
P_Llop_12,P_Llop,2015,Tractament,,25,0
P_Llop_12,P_Llop,2015,Tractament,25,,
P_Llop_12,P_Llop,2015,Tractament,25,,
P_Llop_12,P_Llop,2015,Tractament,25,,
P_Llop_12,P_Llop,2015,Tractament,25,,
P_Llop_12,P_Llop,2015,Tractament,25,,
P_Llop_12,P_Llop,2015,Tractament,25,,
P_Llop_12,P_Llop,2015,Tractament,25,,
P_Llop_12,P_Llop,2015,Tractament, ,28,10
P_Llop_12,P_Llop,2015,Tractament, ,23,0
P_Llop_12,P_Llop,2015,Tractament,25,,
P_Llop_12,P_Llop,2015,Tractament,23,0,0
P_Llop_12,P_Llop,2015,Tractament,22,,
P_Llop_12,P_Llop,2015,Tractament,,2,0
P_Llop_12,P_Llop,2015,Tractament,,3,0
P_Llop_12,P_Llop,2015,Tractament,25,,
P_Llop_12,P_Llop,2015,Tractament,25,,
P_Llop_12,P_Llop,2015,Tractament,25,,
P_Llop_13,P_Llop,2015,Control,18,,
P_Llop_13,P_Llop,2015,Control,,25,1
P_Llop_13,P_Llop,2015,Control,17,,
P_Llop_13,P_Llop,2015,Control,18,,
P_Llop_13,P_Llop,2015,Control,18,,
P_Llop_13,P_Llop,2015,Control,18,,
P_Llop_13,P_Llop,2015,Control,17,,
P_Llop_13,P_Llop,2015,Control,17,,
P_Llop_13,P_Llop,2015,Control,16,,
P_Llop_13,P_Llop,2015,Control, ,28,1
P_Llop_13,P_Llop,2015,Control, ,23,1
P_Llop_13,P_Llop,2015,Control,16,24,1
P_Llop_13,P_Llop,2015,Control,18,,
P_Llop_13,P_Llop,2015,Control,18,,
P_Llop_13,P_Llop,2015,Control,,2,0
P_Llop_13,P_Llop,2015,Control,,3,0
P_Llop_13,P_Llop,2015,Control,18,,
P_Llop_13,P_Llop,2015,Control,17,,
P_Llop_13,P_Llop,2015,Control,17,,
P_Llop_13,P_Llop,2015,Tractament,25,,
P_Llop_13,P_Llop,2015,Tractament,,25,5
P_Llop_13,P_Llop,2015,Tractament,25,,
P_Llop_13,P_Llop,2015,Tractament,25,,
P_Llop_13,P_Llop,2015,Tractament,25,,
P_Llop_13,P_Llop,2015,Tractament,25,,
P_Llop_13,P_Llop,2015,Tractament,25,,
P_Llop_13,P_Llop,2015,Tractament,25,,
P_Llop_13,P_Llop,2015,Tractament,25,,
P_Llop_13,P_Llop,2015,Tractament, ,28,10
P_Llop_13,P_Llop,2015,Tractament, ,23,0
P_Llop_13,P_Llop,2015,Tractament,25,,
P_Llop_13,P_Llop,2015,Tractament,23,0,0
P_Llop_13,P_Llop,2015,Tractament,22,,
P_Llop_13,P_Llop,2015,Tractament,,2,0
P_Llop_13,P_Llop,2015,Tractament,,3,0
P_Llop_13,P_Llop,2015,Tractament,25,,
P_Llop_13,P_Llop,2015,Tractament,25,,
