PC Scores,Individual/condition,Pop,Year,Mean PCA Scores,Condition
-3.793,P_Llop_1,P_Ll,2015,-2.429,Tractament
-3.220,P_Llop_1,P_Ll,2016,-1.999,Tractament
-1.448,P_Llop_1,P_Ll,2017,4.512,Tractament
0.336,P_Llop_10,P_Ll,2015,-2.429,Tractament
-2.299,P_Llop_10,P_Ll,2016,-1.999,Tractament
6.958,P_Llop_10,P_Ll,2017,4.512,Tractament
-3.684,P_Llop_11,P_Ll,2015,-2.429,Tractament
-3.493,P_Llop_11,P_Ll,2016,-1.999,Tractament
5.790,P_Llop_11,P_Ll,2017,4.512,Tractament
-3.766,P_Llop_12,P_Ll,2015,-2.429,Tractament
-3.436,P_Llop_12,P_Ll,2016,-1.999,Tractament
4.343,P_Llop_12,P_Ll,2017,4.512,Tractament
-3.684,P_Llop_13,P_Ll,2015,-2.429,Tractament
-3.431,P_Llop_13,P_Ll,2016,-1.999,Tractament
-0.067,P_Llop_13,P_Ll,2017,4.512,Tractament
-3.793,P_Llop_14,P_Ll,2015,-2.429,Tractament
-3.461,P_Llop_14,P_Ll,2016,-1.999,Tractament
6.393,P_Llop_14,P_Ll,2017,4.512,Tractament
1.017,P_Llop_15,P_Ll,2015,-2.429,Tractament
-3.463,P_Llop_15,P_Ll,2016,-1.999,Tractament
1.826,P_Llop_15,P_Ll,2017,4.512,Tractament
-3.711,P_Llop_16,P_Ll,2015,-2.429,Tractament
-3.820,P_Llop_16,P_Ll,2016,-1.999,Tractament
5.917,P_Llop_16,P_Ll,2017,4.512,Tractament
-3.793,P_Llop_17,P_Ll,2015,-2.429,Tractament
-3.656,P_Llop_17,P_Ll,2016,-1.999,Tractament
3.024,P_Llop_17,P_Ll,2017,4.512,Tractament
-3.820,P_Llop_19,P_Ll,2015,-2.429,Tractament
-3.001,P_Llop_19,P_Ll,2016,-1.999,Tractament
4.654,P_Llop_19,P_Ll,2017,4.512,Tractament
-0.482,P_Llop_2,P_Ll,2015,-2.429,Tractament
1.411,P_Llop_2,P_Ll,2016,-1.999,Tractament
4.185,P_Llop_2,P_Ll,2017,4.512,Tractament
-2.979,P_Llop_20,P_Ll,2015,-2.429,Tractament
-3.820,P_Llop_20,P_Ll,2016,-1.999,Tractament
5.637,P_Llop_20,P_Ll,2017,4.512,Tractament
-3.656,P_Llop_21,P_Ll,2015,-2.429,Tractament
-2.611,P_Llop_21,P_Ll,2016,-1.999,Tractament
3.053,P_Llop_21,P_Ll,2017,4.512,Tractament
-1.876,P_Llop_22,P_Ll,2015,-2.429,Tractament
1.972,P_Llop_22,P_Ll,2016,-1.999,Tractament
5.895,P_Llop_22,P_Ll,2017,4.512,Tractament
-3.820,P_Llop_24,P_Ll,2015,-2.429,Tractament
-3.328,P_Llop_24,P_Ll,2016,-1.999,Tractament
4.172,P_Llop_24,P_Ll,2017,4.512,Tractament
-3.657,P_Llop_25,P_Ll,2015,-2.429,Tractament
-3.820,P_Llop_25,P_Ll,2016,-1.999,Tractament
1.575,P_Llop_25,P_Ll,2017,4.512,Tractament
