rep,response,ind,pop,year,mean
1,-3.792987022,P_Llop_1,Pota,2015,-2.428943
2,-3.219528804,P_Llop_1,Pota,2016,-1.998643
3,-1.44779038,P_Llop_1,Pota,2017,4.512142
4,0.335932881,P_Llop_10,Pota,2015,-2.428943
5,-2.299191162,P_Llop_10,Pota,2016,-1.998643
6,6.958158635,P_Llop_10,Pota,2017,4.512142
7,-3.683782827,P_Llop_11,Pota,2015,-2.428943
8,-3.492716103,P_Llop_11,Pota,2016,-1.998643
9,5.790463034,P_Llop_11,Pota,2017,4.512142
10,-3.765903403,P_Llop_12,Pota,2015,-2.428943
11,-3.435924705,P_Llop_12,Pota,2016,-1.998643
12,4.342768978,P_Llop_12,Pota,2017,4.512142
13,-3.683782827,P_Llop_13,Pota,2015,-2.428943
14,-3.431063877,P_Llop_13,Pota,2016,-1.998643
15,-0.067151715,P_Llop_13,Pota,2017,4.512142
16,-3.792987022,P_Llop_14,Pota,2015,-2.428943
17,-3.461406497,P_Llop_14,Pota,2016,-1.998643
18,6.392742534,P_Llop_14,Pota,2017,4.512142
19,1.016940655,P_Llop_15,Pota,2015,-2.428943
20,-3.462706557,P_Llop_15,Pota,2016,-1.998643
21,1.825634593,P_Llop_15,Pota,2017,4.512142
22,-3.710866447,P_Llop_16,Pota,2015,-2.428943
23,-3.820070642,P_Llop_16,Pota,2016,-1.998643
24,5.91666242,P_Llop_16,Pota,2017,4.512142
25,-3.792987022,P_Llop_17,Pota,2015,-2.428943
26,-3.656345584,P_Llop_17,Pota,2016,-1.998643
27,3.023996989,P_Llop_17,Pota,2017,4.512142
28,-3.820070642,P_Llop_19,Pota,2015,-2.428943
29,-3.000533152,P_Llop_19,Pota,2016,-1.998643
30,4.653644113,P_Llop_19,Pota,2017,4.512142
31,-0.481861189,P_Llop_2,Pota,2015,-2.428943
32,1.411486574,P_Llop_2,Pota,2016,-1.998643
33,4.184624309,P_Llop_2,Pota,2017,4.512142
34,-2.979217594,P_Llop_20,Pota,2015,-2.428943
35,-3.820070642,P_Llop_20,Pota,2016,-1.998643
36,5.636729131,P_Llop_20,Pota,2017,4.512142
37,-3.655681926,P_Llop_21,Pota,2015,-2.428943
38,-2.610580133,P_Llop_21,Pota,2016,-1.998643
39,3.053043895,P_Llop_21,Pota,2017,4.512142
40,-1.875611107,P_Llop_22,Pota,2015,-2.428943
41,1.971635614,P_Llop_22,Pota,2016,-1.998643
42,5.895287644,P_Llop_22,Pota,2017,4.512142
43,-3.820070642,P_Llop_24,Pota,2015,-2.428943
44,-3.328483088,P_Llop_24,Pota,2016,-1.998643
45,4.172427446,P_Llop_24,Pota,2017,4.512142
46,-3.656699208,P_Llop_25,Pota,2015,-2.428943
47,-3.820070642,P_Llop_25,Pota,2016,-1.998643
48,1.574635347,P_Llop_25,Pota,2017,4.512142
49,-3.481915763,P_Llop_26,Pota,2015,-2.428943
50,-3.629003918,P_Llop_26,Pota,2016,-1.998643
51,7.496418874,P_Llop_26,Pota,2017,4.512142
52,-2.893688667,P_Llop_27,Pota,2015,-2.428943
53,-3.820070642,P_Llop_27,Pota,2016,-1.998643
54,4.873400525,P_Llop_27,Pota,2017,4.512142
55,-3.710866447,P_Llop_28,Pota,2015,-2.428943
56,-3.601662252,P_Llop_28,Pota,2016,-1.998643
57,3.084539268,P_Llop_28,Pota,2017,4.512142
58,-3.820070642,P_Llop_29,Pota,2015,-2.428943
59,-0.123518243,P_Llop_29,Pota,2016,-1.998643
60,2.853136918,P_Llop_29,Pota,2017,4.512142
61,-3.573325645,P_Llop_3,Pota,2015,-2.428943
62,-1.907816498,P_Llop_3,Pota,2016,-1.998643
63,6.061499866,P_Llop_3,Pota,2017,4.512142
64,-3.655681926,P_Llop_30,Pota,2015,-2.428943
65,-3.070074536,P_Llop_30,Pota,2016,-1.998643
66,0.601034926,P_Llop_30,Pota,2017,4.512142
67,-2.474917673,P_Llop_4,Pota,2015,-2.428943
68,-3.137122733,P_Llop_4,Pota,2016,-1.998643
69,4.172427446,P_Llop_4,Pota,2017,4.512142
70,4.025545325,P_Llop_5,Pota,2015,-2.428943
71,5.621826317,P_Llop_5,Pota,2016,-1.998643
72,1.574635347,P_Llop_5,Pota,2017,4.512142
73,-1.843640367,P_Llop_6,Pota,2015,-2.428943
74,-0.476874886,P_Llop_6,Pota,2016,-1.998643
75,7.496418874,P_Llop_6,Pota,2017,4.512142
76,-0.281212185,P_Llop_7,Pota,2015,-2.428943
77,-0.308897115,P_Llop_7,Pota,2016,-1.998643
78,4.873400525,P_Llop_7,Pota,2017,4.512142
79,-1.836559168,P_Llop_8,Pota,2015,-2.428943
80,1.52128252,P_Llop_8,Pota,2016,-1.998643
81,3.084539268,P_Llop_8,Pota,2017,4.512142
82,-3.211144453,P_Llop_9,Pota,2015,-2.428943
83,-1.361458171,P_Llop_9,Pota,2016,-1.998643
84,2.853136918,P_Llop_9,Pota,2017,4.512142
85,-2.39553973,Tascons_1,Tasc,2015,-2.428943
86,3.13181685,Tascons_1,Tasc,2016,-1.998643
87,4.26892855,Tascons_1,Tasc,2017,4.512142
