"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28"
"P_Llop_1 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_1 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,20,30,30,30
"P_Llop_1 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_1 2017 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,30,30,50,50,60,60,60,60
"P_Llop_10 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,5,5,10,10,10,10,10,10,10,15,20,20,20,20,20,20,20,20
"P_Llop_10 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_10 2017 Tractament",0,0,0,0,0,0,0,0,0,0,10,50,70,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"P_Llop_11 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_11 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,15,20
"P_Llop_11 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_11 2017 Tractament",0,0,0,0,0,0,0,0,0,0,0,5,50,70,70,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"P_Llop_12 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_12 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,10,10,10,20
"P_Llop_12 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_12 2017 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,70,90,100,100,100,100,100,100,100,100,100,100,100,100
"P_Llop_13 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_13 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,5,5,5,5,5,10,10,10
"P_Llop_13 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_13 2017 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,15,20,20,20,90,90,100,100,100,100
"P_Llop_14 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_14 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,10,10,10,10
"P_Llop_14 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_14 2017 Tractament",0,0,0,0,0,0,0,30,30,40,40,50,50,60,60,90,100,100,100,100,100,100,100,100,100,100,100,100,100
"P_Llop_15 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_15 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,10,10,10,10,10
"P_Llop_15 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_15 2017 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,25,30,40,40,70,90,90,100,100,100,100,100,100
"P_Llop_16 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_16 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_16 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_16 2017 Tractament",0,0,0,0,0,0,0,0,0,0,5,10,20,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"P_Llop_17 2016 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_17 2016 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10
"P_Llop_17 2017 Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_Llop_17 2017 Tractament",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,40,60,90,100,100,100,100,100,100,100,100,100,100
